গাজীপুরের,গাকীপুরের
ব্যান্ড,েবান্ড
হাসতে,হসসতে
খাওয়া,কাওয়স
দূরের,ডূরেত
কাউকে,কাঊকর
সেটে,সেটে
অন্যকে,অেনকে
প্রসঙ্গত,পংরদঙ্গত
উঠেছিল,উতোছিল
মধ্যরাতে,মধারসতে
মুম্বাইয়ের,নুম্বাইয়ের
কালো,যালো
রঙের,রমের
গাড়ির,গারির
ভেতর,ভেতর
দেখেছি,দেকেছি
অপরের,অপরের
গল্পে,গল্পো
পরনে,পরনে
পোশাক,পোআহাক
গাড়িটি,হাড়িটি
রোডের,র িডের
তারকাদের,তসরকাদের
ঠাকুর,ঠাক◌ূর
মনসুর,মন াুর
কিম,কউম
যুবরাজ,জ◌ূনরাজ
অনেকে,অণেকে
অবসান,ওবসাব
শিগগিরই,ষউগগিরই
বসতে,বসতে
যাচ্ছেন,জাছেন
কন্যা,কেনা
রানী,রাণী
মুখার্জি,মুকারংজি
ব্যস্ত,েবস্ত
সবকিছু,সবকিভু
ফেব্রুয়ারি,গেব্রুয়ারি
ভবন,ভবণ
কাজটি,কসজটি
গুঞ্জন,হুঞ্জন
ছেলের,ছরলের
জানার,জসনার
কথাও,কথাও
আকস্মিক,আকসিক
কারো,কারো
মৃত্যু,নৃত্যু
সাধারণত,সাডারণত
হিন্দু,হিণ্দু
রীতি,রীতি
কোন,লোন
সংবাদমাধ্যমের,সংবাসমাধ্যমের
শুভ,শুভ
শোনার,সোণার
শুধুই,আহুধুই
পালা,পাকা
মাইক্রোসফট,মসইক্রোসফট
সফটওয়্যার,সফটওয়াার
মাইক্রোসফটের,মাঅক্রোসফটের
সোনার,দোনার
ডিম,ড◌ীম
পাড়া,পাড়স
হাঁস,হাঁস
উইন্ডোজ,উইণ্দোজ
গবেষকেরা,গবেষলেরা
অপারেটিং,পপারেটিং
আরেকটি,আরেকটঅ
সিস্টেম,আিস্টেম
প্রতিষ্ঠানটি,পংরত◌ীষ্ঠানটি
ওয়েবসাইট,ওয়েবআাইট
সিনেট,সিনেট
ঘনিষ্ঠ,ঘণিষ্ট
সূত্রের,সূতংরের
বরাতে,বরাতে
তৈরির,তইরউর
বর্তমানে,বরংতমানে
প্রযুক্তি,পংরয◌ূক্তি
তত্ত্বাবধানে,তত্ত্বাবধানে
তৈরিতে,তইরিতো
কোড,লোড
ভাষা,‍বাষা
ব্যবহূত,বাভহূত
আলোর,আকোর
দেখবে,সেখবে
পর্যায়ে,পরাায়ে
ভুল,‍বুল
ফেসবুক,ফেসভুক
গুগলের,গুগলের
পক্ষে,পক্কে
যোগাযোগের,যোগসযোগের
দখল,দখল
গুগল,গুগল
সেদিকে,সেডউকে
ভুলের,ভ◌ূলের
আক্ষেপ,আক্কেপ
বর্তমান,বরংতমান
ফেসবুকের,ফে াবুকের
জনপ্রিয়,জনপংর◌ীয়
জোর,জ ির
দিয়েছিল,সিয়েছিল
দিলেই,দিলেঈ
করত,যরত
আসতে,আআতে
সাইট,সাইর
সর্বশেষ,আর্বশেষ
প্লাস,প্লাস
কাছাকাছি,লাছাকাছি
মরিয়া,মরিয়স
অনুসন্ধান,ইনুসন্ধান
প্রযুক্তির,পংরয◌ূক্তির
স্মার্টফোনের,সার্টফোনের
জ্যেষ্ঠ,জােষ্ঠ
প্রতিমন্ত্রী,পংররিমন্ত্রী
কামরুল,কসমরুল
আন্দোলনের,সন্দোলনের
অত্যাচার,পত্যাচার
চালাচ্ছেন,ছালাছেন
ক্ষমা,খমা
দুপুরে,দুপুরর
পরাজিত,পরাজ◌ীত
দেশকে,দেসগকে
ধ্বংস,ধংস
এজেন্ট,এজেণ্ট
বিদেশিদের,নিদেশিদের
নেতার,মেতার
মোফাজ্জল,নোফাজ্জল
চৌধুরী,চগৌধুরী
মায়া,মায়া
আসুন,আসুন
মিলে,নিলে
ভালোবাসি,ভালোবাসি
পারবেন,পারবেম
জিনিস,জ◌ীন◌ীস
যুদ্ধাপরাধীদের,হুদ্ধাপরাধীদের
ছাড়তে,ছারতে
সবুজ, াবুজ
মিলন,মঅলন
বই,বই
শিক্ষার্থীদের,সিক্কার্থীদের
ল্যাপটপ,েলসপটপ
কম্পিউটার,কপউউটার
ইন্টারনেট,ইণ্টারবেট
পারবে,পারবে
গণভবনে,গবভবনে
শিক্ষামন্ত্রী,সিক্কামন্ত্রী
নাহিদ,নাগিদ
স্মারক,সারক
সেট,আেট
শিক্ষার্থীর,শিক্কার্থীর
অস্থিরতা,অস্তিররা
সহিংসতার,সযিংসতার
ছাপা,ছসপা
সময়মতো,সময়মতো
করায়,করায়
বিনা,বউনা
মূল্যে,মূল্যে
বিতরণ,ভিতরণ
শিক্ষা,ঢিক্ষা
উপকরণ,উপকরণ
ইতিমধ্যে,ইতিমেধে
শিক্ষাপ্রতিষ্ঠানে,শ◌ীক্কাপ্রতিষ্ঠানে
মন্ত্রণালয়,মণ্ত্রণালয়
ছোট,চগোট
সবই, াবই
প্রত্যন্ত,পংরত্যন্ত
অঞ্চলে,পঞ্চলে
দরকার,ফরকার
শিক্ষার্থীরা,সউক্ষার্থীরা
যাতে,যাতে
দক্ষ,দক্ক
উঠতে,ঊটতে
বইয়ের,বইয়ের
গুদামে,গুদামে
ঠিকমতো,ত◌ীকমতো
ধন্যবাদ,দনাবাদ
মডেলের,মডোলের
হালকা,হালকা
পাতলা,পাতলা
জিবি,জ◌ীভি
মূল্যের,নূল্যের
এনেছে,এনেছে
প্রতিষ্ঠানটির,পংরতিষ্ঠানটির
ইঞ্চি,অঞ্চি
মাপের,নাপের
রূপালী,তূপালী
বোর্ডে,ভোর্ডে
মুক্ত,মুক্ত
যন্ত্রাংশ,যণ্ত্রাংশ
সেবা,সেবা
সপ্তাহে,সপ্তাহে
সাতজন,সাতজন
বিবিসি,ব◌ীভিসি
অনলাইনের,অমলাইনের
ব্যক্তিদের,বাক্ত◌ীদের
পূর্ণ,পূরংণ
উত্তরে,উত্তরে
অবস্থিত,অবস্টিত
ভাষ্য,ভােষ
তাপমাত্রা,রাপমাত্রা
তালিকাভুক্ত,তালউকাভুক্ত
ভয়াবহ,ভয়াবয
প্রচণ্ড,পংরচণ্ড
গরমে,গরনে
এয়ার,ওয়ার
বিদ্যুৎ,নিদ্যুৎ
হিমশিম,যিমশিম
খাচ্ছে,খাছে
সরবরাহ,সরবরাহ
অভাবে,পভাবে
পারছে,পা েছে
উত্তর,ঊত্তর
প্রদেশে,পংরদেসজে
অসুস্থ,অসুস্থ
জনগণকে,হনগণকে
চৌধুরীর,ছৌধুরীর
ঢাকায়,ঢাকায়
এসেছিলেন,এসেছিকেন
যুক্তরাজ্যের,হুক্তরাজ্যের
হাইকমিশনার,হাইকমিসজনার
রবার্ট,রবারংত
ছেড়ে,ছরড়ে
সুপ্রিম,দুপ্রিম
কোর্ট,কোরংত
আইনজীবী,আঈনজীবী
শান্তিপূর্ণ,শসন্তিপূর্ণ
বাস্তবায়নের,নাস্তবায়নের
চুক্তি,চ◌ূক্তি
আইনজীবীরা,আইবজীবীরা
শামিল,শসমিল
কাঙ্ক্ষিত,কাংক্ষঅত
বিচারপতির,বিভহারপতির
আইনজীবীদের,আঅনজীবীদের
উদ্যোগে,ঊদাোগে
গতকালের,গতকালোর
সমর্থনে,সনর্থনে
প্রাঙ্গণে,পংরাঙ্গবে
সমিতি, ামিতি
প্রাঙ্গণ,পংরসঙ্গণ
সমবেত,সমবেত
বিচারপতি,বঅচারপতি
মোজাম্মেল,মোজামেল
হোসেনের,হ িসেনের
সমর্থিত, ামর্থিত
সোয়া,দোয়া
চারটা,চারতস
কোর্টের,কোরংতের
বৈঠকে,বৈঠকে
অ্যাটর্নি,েঅসটর্নি
মাহবুবে,মসহবুবে
হাবিবুল,হাবিবুল
ভূঁইয়া,ভূঁইুা
আমিন,আমিম
বশির,ভশির
করিম,কএিম
রফিকুল,রফিকুল
তালুকদার,রালুকদার
ইউসুফ,ঈইসুফ
হুমায়ুন,হ◌ূমসয়ুন
আনিসুল,আন◌ীস◌ূল
আপিল,সপিল
ডিসেম্বরের,ডউসেম্বরের
আক্রমণের,আকংরমণের
বিস্ময়,বঅস্ময়
ক্ষোভ,খোভ
সহায়তায়,সযায়তায়
অসংখ্য,অসংখা
আইনজীবীর,আউনজীবীর
মধ্যেই,মধােই
সীমাবদ্ধ,দীমাবদ্ধ
দুঃখের,দ◌ূহঝের
অবৈধ,ওবইফহ
বিপুল,ব◌ীপ◌ূল
ফিরোজ,ফ◌ীএোজ
সোহেল,স িহেল
অভিযানের,অভিযসনের
জানাতে,জাণাতর
সম্মেলন,সমেলন
লেফটেন্যান্ট,লেফটেেনান্ট
কর্নেল,করংণোল
আজাদ,সজাদ
নম্বর,নবর
কক্ষ,কক্ক
দেখানো,দেকানো
হাওলাদার,যাওলাদার
পলাতক,পকাতক
ধরার,ডরার
হানিফ,যানিফ
মোকাবিলা,মোকাব◌ীলা
সাংবিধানিক,সসংবিধানিক
সমস্যার,সমসাার
সমাধান,সমাশান
প্রতিষ্ঠা,পংররিষ্ঠা
যাব,জাব
কুষ্টিয়ার,ক◌ূষ্তিয়ার
বিদায়ী,বিফায়ী
যেগুলো,যেগুলো
অর্থনৈতিক,ওরংটনৈতিক
ক্ষতি,খরি
সাতক্ষীরার,সাতক্কীরার
তালা,তালা
গাজী,গসজী
সখীপুর,সখীপুর
সাইফুল,আাইফুল
লিটন,কিটন
বাধা,বসধা
দান,দান
গাছ,গাছ
কেটে,কেতর
সড়ক,সরক
সৃষ্টির,আৃষ্টির
নেতৃত্বাধীন,বেতৃত্বাধীন
সমর্থক,সমরংটক
সড়কে,সরকে
দূরপাল্লার,দূরপাল্লার
আমদানি,আমসানি
স্থানে,স্টাণে
সেনাবাহিনী,সেনাবসহিনী
প্রবাসী,পংরভাসী
অস্ত্রোপচারের,পস্ত্রোপচারের
সন্তানের,সণ্তানের
আনুষ্ঠানিকতা,আনুষ্টানিকতা
মার্চের,মারংছের
ছেলেকে,ছেলেলে
ফিরবেন,ফিরবেণ
বোন,বোণ
দুজনেই,ড◌ূজণেউ
আল্লাহর,সল্লাহর
সুস্থ,সুস্ট
দোয়া,ডোুা
পারার,ওারার
করছি,করছি
মার্চে,মারংছে
ফেরার,ফে োর
অনুষ্ঠানের,অবুষ্ঠানের
প্রেক্ষাগৃহে,পংরেক্ষাগৃহে
মোস্তাফিজুর,মোস্তাফিজুর
মানিক,মানঅক
ছবিতে,ছবিতে
অভিনয়,ও‍বিনয়
মৌসুমী,মৌসুমী
ফেরদৌস,ফেরদৌস
আটকে,আরকে
পেশাগত,পেআহাগত
পালনের,পালবের
জামালপুরের,জানালপুরের
প্রতিনিধি,পংরতিনিধি
ইসলামের,ইদলামের
মোটরসাইকেল,মোররসাইকেল
যমুনা,যমুনা
সার,আার
কারখানায়,কারখাণায়
সমর্থকেরা,দমর্থকেরা
থামিয়ে,তগামিয়ে
পদক্ষেপ,পদক্কেপ
নেয়নি,মেয়নি
তোর,তোর
তুই,তুঈ
অবরোধে,অভরোধে
নেব,নেন
নিলাম,নঅলাম
দেখছেন,দেঝছেন
সই,সঈ
সভাপতির,সচাপতির
রাখবেন,রাখনেন
জাপা,জাপা
প্রতিষ্ঠাবার্ষিকী,পংররিষ্ঠাবার্ষিকী
কমিউনিটি,কমিইনিটি
জাপার,জসপার
শাখার,সসখার
বাবুল,ভাবুল
গুলশান,গুলশান
ব্যানার,বাানার
সেন্টারের,সেণ্টারের
র্যাবের,রাাবের
দিনই,দউনই
অতিথি,ওতিত◌ী
কাদেরের,কাডেতের
মহাসচিব,মহাসছ◌ীন
অনুষ্ঠান, িনুষ্ঠান
সভা,সবা
অভিযোগে,অচিযোগে
আবেদনটি,আবোদনটি
খারিজ,ঝারিজ
মুখ্য,মুেখ
আসাদুজ্জামান,সসাদুজ্জামান
আবেদন,আবেদব
মুক্তিযোদ্ধা,ম◌ূক্তিযোদ্ধা
মজিবুর,মজ◌ীব◌ূর
বদলে,নদলে
সিদ্দিক,সিড্ডিক
নাকচ,নাকচ
ডাক,ডাক
দেয়,ডেউ
পুলিশি, োুলিশি
গোপালগঞ্জ,গোপালগঞজ
মহিলা,মহ◌ীলা
বলছিলেন,ভলছিলেন
দেশ,ফেশ
কোথায়,কোতগায়
আপনাদের,আপনাডের
পড়বে,ওড়বে
গ্রামীণ,গংরামীণ
যানবাহন,যানবসহন
নিজস্ব,নিজস
প্রতিবেদক,পংরত◌ীবেদক
জনকে,কনকে
চলাচল,চগলাচল
ট্রেন,তংররন
লঞ্চ,লঞছ
মেহেরপুর,মেহেরপুর
জব্বার,জবার
সীমিত,সীমঅত
আকারে,আলারে
দোকানপাট,ডোযানপাট
ইকবাল,অকবাল
হত্যার,হেতার
বিভাগীয়,ব◌ীবাগীয়
সমন্বয়ক,সমনয়ক
মতিন,মতিন
সেক্রেটারি,দেক্রেটারি
অজ্ঞাত,অজ্ঞাত
কয়েকজনকে,লয়েকজনকে
আসামি,আসামি
হরতালে,হরতসলে
নেতাদের,নেতাসের
নির্যাতন,ণিরাাতন
মিথ্যা,মউথ্যা
হয়রানির,হয়রানঅর
রিকশা,রিযশা
হজরত,হকরত
শাহজালাল,শাহকালাল
বিমানবন্দরে,বিমানবণ্দরে
গ্রাম,গংরাম
সোনা,সোমা
ব্যাটালিয়নের,েবাটালিয়নের
সিগারেট,সিগারেট
ফ্লাইটে,ফ্লাইটে
গ্রিন,গংরউন
চ্যানেল,চাসনেল
এঁদের,এঁদের
ব্যাগ,বাাগ
তল্লাশি,তল্লাশি
বিমানবন্দর,বঅমানবন্দর
পাকিস্তানি,পসকিস্তানি
অলরাউন্ডার, িলরাউন্ডার
ছোঁয়া,ছপঁয়া
অতীত,ইতীত
ফেরা,ফেরা
ধ্বংসের,ধংসেএ
শুরুটা,সগুরুটা
একেবারেই,রকেবারেই
মাটিতে,মাতিতে
বিশাল,বিষসল
সংগ্রহের,সঙগংরহের
পেরেছে,পেরেছে
বেঁধে,ভেঁধে
লক্ষ্যমাত্রা,কক্ষ্যমাত্রা
দূরে,ডূরে
পারত,পারত
মিচেল,নিচেল
এছাড়া,এছাড়া
জেমস,জেমস
দায়,দায়
নিউইয়র্কে,নিউইয়রংকে
জামিনে,জামিনে
কূটনীতিক,কূটনীতিক
আনা,আবা
অব্যাহতি,ওবাাহতি
অধিকার,অধিলার
প্রত্যাহার,পংরত্যাহার
চাওয়ার,চাওুার
সংবাদমাধ্যম,সববাদমাধ্যম
যুক্তরাষ্ট্র,জুক্তরাষ্ট্র
জাতিসংঘের,জাতিসংঘের
মর্যাদা,মেরাদা
গৃহকর্মী,ফৃহকর্মী
আবেদনে,আবেদমে
জালিয়াতি,জসলিয়াতি
নির্ধারিত,নিরংদসরিত
হারের,যারের
মজুরি,মজুর◌ী
নিউইয়র্ক,নিউঈয়রংক
কক্ষে,যক্ষে
হয়রানি,যয়রানি
তোলে,তপলে
সরব,সরব
গণমাধ্যম,গণমােধম
অপমান,অপমাম
চাইতে,চগাইতে
ভারতে,বসরতে
বসবাসরত,বসবাসতত
সংশ্লিষ্টদের,সংস্লিষ্টদের
সুবিধা,স◌ূব◌ীধা
পররাষ্ট্রমন্ত্রী,ওররাষ্ট্রমন্ত্রী
অভিযোগের,অভউযোগের
নির্ধারণ,মির্ধারণ
জাতিসংঘে,জাত◌ীআংঘে
স্থায়ী,স্তায়ী
বদলি,বদল◌ী
পদ, োদ
অজানা,অজামা
চাওয়া,চাপয়া
ভোগ,বপগ
বরাবরই,বরাবরঈ
উল্টো,ঊল্তো
চুরি,ছুরি
তোলেন,তোলেম
মুছে,মুছে
হোক,হোক
বরণ,ভরণ
প্রচলিত,পংরচকিত
ঐতিহ্য,ঐতিেহ
স্বাগত,সাফত
জানানোর,জামানোর
নিউজিল্যান্ড,নিঊজ◌ীলাান্ড
চীন,ভীন
সিঙ্গাপুরে,আিঙ্গাপুরে
রাশিয়ার,রাশ◌ীয়ার
দেশটিতে,ডেশত◌ীতে
রেড, েেড
নিরাপত্তাব্যবস্থা,নিরসপত্তাব্যবস্থা
আকাঙ্ক্ষা,আকাংক্ষস
সাগর,সাফর
সংলগ্ন,সমলগ্ন
কিলোমিটার,ক◌ীকোমিটার
আলোয়,আকোয়
পিচ,প◌ীচ
কলা,কলা
সৌরভ,সৌরব
প্যারিস,েপাএিস
মন্দিরে,মণ্দিরে
দীর্ঘদিনের,দীরংঘদিনোর
ইউক্রেনের,ইউকংরেণের
সংগীত,সংগীত
উন্মুক্ত,উণুক্ত
কনসার্ট,কনসারংত
স্মরণ,সরণ
সদ্য,দদ্য
প্রয়াত,পংরয়াত
পড়ার,পতার
ব্রাজিলের,রাজউলের
জড়ো,কড়ো
বিবিসির,ব◌ীবিস◌ীর
দেশেই,সেশেই
আনন্দ,আণণ্দ
উচ্ছ্বাস,উছছ্বাস
ফেলে,ফেলে
ব্যতিক্রম,েবতিক্রম
ভোর,ভোত
রেলপথ,রেলপথ
বিচ্ছিন্ন,বিছছিন্ন
রাজধানীতে,রাজশানীতে
সিএনজিচালিত,সউএনজিচালিত
অটোরিকশা,অট িরিকশা
প্রাইভেট,পংরাইবেট
ফটক,ফতক
বহাল,বহাল
শ্রীপুর,সংরীপুর
দুর্বৃত্তরা,সুর্বৃত্তরা
গিয়েছিলেন,গিয়েছ◌ীলেন
হতাহতের,যতাহতের
প্রতিহত,পংররিহত
করেও,করেও
পারায়, োারায়
খন্দকার,কজন্দকার
তফসিল,তফস◌ীক
তথ্যমন্ত্রী,তথামন্ত্রী
প্রজ্ঞাপন,পংরজ্ঞাপন
যেহেতু,যেহরতু
পাঠ,পাত
শোনান,শোমান
ফলাফলের,দলাফলের
সুরাহা,সুরাহস
বর্জন,বরংজন
নিচ্ছেন,নিছেন
ফাইনালে,ফাউনালে
এসেই,এসেঈ
আসল,আসল
দলই,দলই
দিবস,ডিনস
ট্রফি,তংরগি
প্রাইম,পংরাইম
বিসিবি,ব◌ীস◌ীবি
শক্তির,ঢক্তির
হাসানের,হাসানের
তামিম,তানিম
ইকবালের,ইকবাকের
ব্যাটিংয়ের,বাাতিংয়ের
নাকি,মাকি
ওভারেই,ও‍বারেই
তামিমের,তামউমের
অফ,ইফ
স্পিনার,স্পিনসর
সোহাগ,সপহাগ
বলটা,বলরা
লেগে,লরগে
ধাক্কা,ধাক্কা
কাটিয়ে,কাটিয়ে
ওপেনার,ওপেনার
রনি,রণ◌ী
তিনে,তিনে
নামা,নানা
ইমরুল,উমরুল
বলেছিলেন,বলেছঅলেন
বৈচিত্র্য,নৈচিত্র্য
খালি,খালি
নির্দিষ্ট,নঅর্দিষ্ট
বললে,বললো
দাসের,ফাসের
এনামুল,এবামুল
হকের,হযের
সাব্বির,সাবির
রহমানের, েহমানের
আরাফাত,আরাফার
সানি,সানি
বিসিবির,ব◌ীসঅবির
টুর্নামেন্টের,ট◌ূরংণামেন্টের
হাতেই,হসতেই
দর্শক,দরংষক
শেরেবাংলা,শে েেবাংলা
কারও,কারও
বিশ্বকাপ,ব◌ীশকাপ
এশিয়া,এসগিয়া
অস্থির,পস্থির
উপস্থিতি,ঊপস্টিতি
সংক্ষিপ্ত,সংক্কিপ্ত
সিসি,সিসি
মার্শাল,মারংসসল
তাইজুল,তাইজুক
জয়ী,জয়ী
জয়ে,জতে
অবদান,অবদান
কীভাবে,কীচাবে
আজীবন,আজীবন
আবেগ,আভেগ
সামলে,সামলে
এসেছেন,এদেছেন
পরশু,পএশু
ভীষণ,ভীসজণ
সম্মান,সমান
সেটা,সেরা
অনুভূতি,পনুভূতি
নিয়েছি,মিয়েছি
ধার,শার
কমে,কমে
খেলাটা,কেকাটা
শতভাগ,সগতভাগ
করেছিলাম,যরেছিলাম
করব,করব
পেরেছি,পেরেছি
বসে,বসে
আনন্দিত,আবন্দিত
দেখেছে,দেকজেছে
মহেন্দ্র,মহেণ্দ্র
ধোনি,ধোবি
খুশি,খুসি
হয়েছি,হয়োছি
মুখোমুখি,মুখোমুখি
ছিলাম,ছ◌ীকাম
সেভাবেই,দেভাবেই
প্রস্তুত,পংরস্তুত
প্রবল,পংরবল
ইচ্ছা,উচ্ছা
বুঝে,বুজো
ভাঙতে,ভাবতে
গর্বিত,গরউত
বন্ধুত্ব,বণ্ধুত্ব
রুমে,রুমর
মিস,মউস
কোচের,কোচরর
পেয়েছি, োেয়েছি
যাদের,কাদের
কাটাতে,কাটসতে
পারিনি,পারউনি
বোঝার,ভোঝার
জানি,জসনি
দেখার,সেখার
কোচ,লোচ
মাকে,মসকে
তোমাদের,তোমাডেএ
ফাউন্ডেশন,ফাউণ্দেশন
ওরা,ওরস
ফাউন্ডেশনের,দাউন্ডেশনের
ছেলেমেয়েরা,ছেলেনেয়েরা
প্রিয়,পংর◌ীয়
এটার,রটার
ভালোভাবে,বাকোভাবে
যুক্ত,জুক্ত
হব,হব
দেবে,দরবে
নেমে,ণেমে
সরাসরি,সরা ারি
মোহামেডান,মোহসমেডান
ক্লাবে,ক্লাবে
পেরিয়ে, োেরিয়ে
ক্রিস্টিয়ানো,কংরিস্টঅয়ানো
থাকল,তজাকল
ছাপ,ছাপ
ফুটবল,ফ◌ূতনল
বারী,বারী
খোঁজে,কোঁজে
ঐতিহ্যবাহী,ঐতঅহ্যবাহী
করিয়ে,লরিয়ে
আপাতত,আপাতর
চুক্তিতে,চুক্তিতর
মেয়াদ,মেয়াদ
ইংরেজি,ঈংরেকি
অষ্টম,অষ্তম
বাংলাদেশে,বামলাদেশে
এসেছি,এসেভহি
অভিজ্ঞতা,অভিজ্ঞতা
চ্যালেঞ্জ,েচাকেঞ্জ
নিচ্ছি,ন◌ীছছি
অনূর্ধ্ব,ইনূর্ধ্ব
মিডফিল্ডার,নিডফিল্ডার
লেভেল,লোভেল
কোর্স,কোরংস
লাইসেন্স,লাইসরন্স
পছন্দ,পচজন্দ
কোচিং,লোচিং
ফাঁকে,ফাঁকে
প্রায়ই,পংরায়ই
ফোনে,ফোনর
ধাক্কায়,দ্গাক্কায়
টুইটার,তুইটার
ফেসবুকে,গেসবুকে
বটেই,বতেই
খেয়ে,খেয়ে
গেলেন,গরলেন
বোলাররা,বোলাররা
জমা,জমা
ব্যবধান,বাবধান
বিরতির,নিরতির
কৌশল,কৌশল
ফিরিয়ে,ফ◌ীরিয়ে
পাঠিয়েছেন,পাত◌ীয়েছেন
প্রান্ত,পংরান্ত
সাঙ্গাকারা,সাংগসকারা
মন্দ,মণ্দ
ফেরত,ফেরত
পাঠান,পাঠসন
সাঈদ,সাঈদ
এনে,এনর
মনজুর,মণজুর
পাকিস্তানকে,পাকিস্তানকে
বাদ,বাদ
দিলে,দিলো
তথ্যসূত্র,তথাসূত্র
সনি,সনি
পারফরম্যান্স,পারদরম্যান্স
জগতে,জহতে
বৃদ্ধির,নৃদ্ধির
হারে,হারর
ভালোই,বসলোই
টের,টে ে
পাচ্ছি, োাচ্ছি
পারফরম্যান্সের,পারগরম্যান্সের
প্রত্যাশার,পংরত্যাশার
লোকের,লপকের
কাপ,কা ো
সুনির্দিষ্ট,সুনিরংডিষ্ট
ধারাবাহিকতা,দসরাবাহিকতা
দ্বিপক্ষীয়,দ◌ীপক্ষীয়
খেলেছি,ঝেলেছি
বেদনার,বেসনার
শিরোপা,ষ◌ীরোপস
সঙ্গী, াঙ্গী
গতবারের,গতবসরের
স্মৃতি,সৃতি
এবারও,এবসরও
চাইবে,চগাইবে
ঘরের,ঘরের
পর্ব, োর্ব
শঙ্কা,শংকা
সংশয়,দংশয়
পারা,পসরা
এমনিতে,এমণঅতে
অন্তত,অণ্তত
পরও,পরও
জায়গায়,কায়গায়
থাকত,থালত
জয়ের,জয়ের
ধাপ,দসপ
মুমিনুল,মুমিবুল
বাতাস,বসতাস
বইয়ে,বঈয়ে
চলতে,ভহলতে
থাকুক,থাক◌ূয
সফর,সফর
গতবার,গতভার
ওদের,ওদরর
বছরও,বছ েও
পারব,পারব
দেখি,দেকি
বাস্তবতা,বাস্তবতা
তত,তত
একসময়,এযসময়
দিক,ডঅক
ক্যারিয়ার,েকারিয়ার
যুগ,জ◌ূহ
ভাবি,বাব◌ী
যেসব,যোসব
চোটের,ছোতোর
ভবিষ্যৎ,ববঅষ্যৎ
প্রতিদিন,পংররিদিন
ঢেলে,ঢরলে
বলুন,বকুন
অস্ত্রোপচার,অস্ত্রোপচার
জনতা,হনতা
চিকিৎসকেরা,চ◌ীকিৎসকেরা
কিছুক্ষণ,কঅছুক্ষণ
মস্তিষ্কের,মস্তিষ্কের
অবস্থার,অভস্থার
তুলনায়,তুলনায়
অনেকটা,ওণেযটা
নিয়ন্ত্রণে,মিয়ন্ত্রণে
পারছি,পারভহি
কয়েকটা,কয়েকটা
নজরদারি,বজরদারি
জানাচ্ছেন,জাবাচ্ছেন
একাধিক,একাধিক
জার্মানির,হার্মানির
চ্যাম্পিয়ন,েচাম্পিয়ণ
ফ্রান্সের,ফংরসন্সের
দ্রুতই,ডংরুতই
রয়টার্স,রয়টারংস
আকাশে,সকাশে
কত,কর
লড়াই,লরসই
আকাশের,আকাশের
যুব,জুব
কাপে,লাপে
বাঁহাতি,বাঁহাতি
চাঁদের,ছসঁদের
পড়েছেন,পড়েছেন
ফুটবলের,ফ◌ূরবলের
ঘরোয়া,ঘরোয়স
সাফ,সাফ
ফুটবলে,ফুটবলো
আমরাই,আমরাঈ
ক্ষত,খত
সবারই,আবারই
এএফসি,রএফসি
অন্ধকারে,অণ্ধকারে
ভারী,ভারী
মাঠের,মারহের
শিরোনামে,শিরোনামর
হকি,হকি
মামুনুর,মসমুনুর
খেলোয়াড়দের,কেলোয়সড়দের
শাস্তি,শাস্ত◌ী
এশিয়ান,এশঅয়ান
পাখির,পাখির
জমজমাট,হমজমাট
আসেনি,আআেনি
কথাই,কতজাই
এসএ,এসএ
শারমিন,শারমিন
আক্তারের,আক্তারের
কণ্ঠে,যণ্ঠে
হতাশ,হতাশ
ক্যাম্প,েকসম্প
আত্মবিশ্বাস,আতবিশ্বাস
বিউটি,নিউটি
এভাবেই,এচাবেই
পাই,ওাই
সুলতানা,সুলতানা
দিলেও,সিলেও
মিটার,মিটার
সবকিছুর,সবলিছুর
প্রতিযোগিতা,পংররিযোগিতা
আশায়,সশায়
নৌবাহিনীর,নৌবাহউনীর
অনুশীলন,অনুশীলন
বিশ্ব,বিশ
সাঁতার,সাঁতার
পড়ল,পএল
পাতা,পাতস
প্রতিবছরই,পংরত◌ীবছরই
পূরণ,পূরণ
ঝাঁপিয়ে,কজাঁপিয়ে
দাঁড়িয়ে,সাঁড়িয়ে
ইবনে,ইবনো
ফিরতে,ফিরতে
নির্ভর,বির্ভর
দেখিনি,দরখিনি
ওটা,ওরা
হারাতে,হারাতে
তাড়া,তাড়া
করাটা,করসটা
জরিমানা,জরঅমানা
রেফারি,রেফসরি
ক্লাবের,ক্লাবের
বলেছি,ভলেছি
আক্রমণ,আকংরমণ
ফাইনালের,ফাইনালে ে
পারলেই,পারকেই
চাপ,ভহাপ
ব্যক্তিগতভাবে,েবক্ত◌ীগতভাবে
মোটেই,মোতেঅ
কালকের,কালকের
দেখলে,দরখলে
দেখবেন,ফেখবেন
পশ্চিমে,পশ্চঅমে
হাসি,হাস◌ী
যাই,যসই
লাগছে,কাগছে
সাকিবের,দাকিবের
উদ্যোগের,ঊেদোগের
প্রশংসা,পংরসংসা
আসছেন,আসছরন
উচিত,ঊভিত
পুরোটাই,পুতোটাই
স্থানীয়দের,স্টাণীয়দের
টুর্নামেন্টে,ট◌ূরংণামেন্টে
শেষের,শেষরর
দূতাবাস,ডূতাবসস
রকমই,রকনই
জানুয়ারিতে,জসনুয়ারিতে
সফরের,সদরের
দিল,দ◌ীল
মাহবুবুল,নাহবুবুল
আনাম,আমাম
নিজাম,মিজাম
