গাজীপুরের,গাজীপ◌ূরের
ছোট,ছোর
সবই,সবঈ
প্রত্যন্ত,পংরত্যণ্ত
অঞ্চলে,পঞ্চলে
দরকার,দরকসর
শিক্ষার্থীরা,শিক্কার্থীরা
যাতে,যসতে
দক্ষ,দক্ক
উঠতে,উততে
বইয়ের,ভইয়ের
গুদামে,গুদামে
ঠিকমতো,তিকমতো
ধন্যবাদ,ডেনবাদ
মডেলের,মফেলের
হালকা,হসলকা
পাতলা,পাতলা
জিবি,জউবি
মূল্যের,মূল্যের
এনেছে,এবেছে
প্রতিষ্ঠানটির,পংরতিষ্ঠানটির
ইঞ্চি,ঈঞছি
মাপের,নাপের
রূপালী, েূপালী
বোর্ডে,বোরংদে
মুক্ত,মুক্ত
যন্ত্রাংশ,জণ্ত্রাংশ
সেবা,সেভা
সপ্তাহে,সপ্তাহে
সাতজন,সাতজন
বিবিসি,বউবিসি
অনলাইনের,ওনলাউনের
ব্যক্তিদের,েবক্ত◌ীদের
পূর্ণ,পূরংণ
উত্তরে,ঊত্তরে
অবস্থিত,ওবস্টিত
ভাষ্য,ভাষা
তাপমাত্রা,রাপমাত্রা
তালিকাভুক্ত,তসলিকাভুক্ত
ভয়াবহ,ভয়াবহ
প্রচণ্ড,পংরচণ্দ
গরমে,গরমে
এয়ার,এতার
বিদ্যুৎ,ব◌ীদাুৎ
হিমশিম,যিমশিম
খাচ্ছে,খসচ্ছে
সরবরাহ, ারবরাহ
অভাবে,পভাবে
পারছে,পাএছে
উত্তর,ঊত্তর
প্রদেশে,পংরফেশে
অসুস্থ,ইসুস্থ
জনগণকে,জণহণকে
চৌধুরীর,চৌডুরীর
ঢাকায়,ডাকসয়
এসেছিলেন,এসরছিলেন
যুক্তরাজ্যের,যুক্তরাজাের
হাইকমিশনার,হাইযমিশনার
রবার্ট,রনার্ট
ছেড়ে,ছেড়ে
সুপ্রিম,সুপংরিন
কোর্ট,ক ির্ট
আইনজীবী,আইমজীবী
শান্তিপূর্ণ,ষাণ্তিপূর্ণ
বাস্তবায়নের,বসস্তবায়নের
চুক্তি,ছুক্তি
আইনজীবীরা,আইমজীবীরা
শামিল,সাম◌ীল
কাঙ্ক্ষিত,যাঙ্ক্ষিত
বিচারপতির,ভিচারপতির
আইনজীবীদের,আইণহীবীদের
উদ্যোগে,উদা িগে
গতকালের,গতযালের
সমর্থনে,সনর্থনে
প্রাঙ্গণে,পংরাঙ্গণে
সমিতি,সমিত◌ী
প্রাঙ্গণ,পংরাঙ্গণ
সমবেত,আমবেত
বিচারপতি,বউচারপতি
মোজাম্মেল,মোজামেল
হোসেনের,যোসেনের
সমর্থিত,সনর্থিত
সোয়া,সোয়া
চারটা,ভহারটা
কোর্টের,কোরংতের
বৈঠকে,বৈঠকো
অ্যাটর্নি,েঅাটর্নি
মাহবুবে,মাহবুবো
হাবিবুল,গাবিবুল
ভূঁইয়া,ভূঁইয়া
আমিন,সমিন
বশির,বশির
করিম,লরিম
রফিকুল,রফিকুক
তালুকদার,তাল◌ূকসার
ইউসুফ,ইউসুফ
হুমায়ুন,হ◌ূমায়ুম
আনিসুল,আমিসুল
আপিল,আপিল
ডিসেম্বরের,ফিসেম্বরের
আক্রমণের,আকংরনণের
বিস্ময়,বঅস্ময়
ক্ষোভ,খোব
সহায়তায়,সহায়রায়
অসংখ্য,অসংেখ
আইনজীবীর,সইনজীবীর
মধ্যেই,নধ্যেই
সীমাবদ্ধ,সীমাবদ্ড
দুঃখের,সুঃখের
অবৈধ,ওবৈধ
বিপুল,বিপুক
ফিরোজ,ফ◌ীরোজ
সোহেল,সোযেল
অভিযানের,অভিযানের
জানাতে,জানাতর
সম্মেলন,সমরলন
লেফটেন্যান্ট,লেফটেেনান্ট
কর্নেল,করংণেল
আজাদ,আজাদ
নম্বর,নবর
কক্ষ,কক্ক
দেখানো,দেখাবো
হাওলাদার,হাওলাদা ে
পলাতক,ওলাতক
ধরার,ধরাএ
হানিফ,হাবিফ
মোকাবিলা,নোকাবিলা
সাংবিধানিক,সসংবিধানিক
সমস্যার,সমেসার
সমাধান,সমাদসন
প্রতিষ্ঠা,পংরতিষ্ঠা
যাব,যাব
কুষ্টিয়ার,কুষ্টিয়ার
বিদায়ী,বিদায়ী
যেগুলো,যেগুলো
অর্থনৈতিক,অরংতমৈতিক
ক্ষতি,খতঅ
সাতক্ষীরার,দাতক্ষীরার
তালা,তালা
গাজী,গাজী
সখীপুর, াখীপুর
সাইফুল,সাইফুল
লিটন,লিটন
বাধা,বসধা
দান,ফান
গাছ,গাছ
কেটে,কেটে
সড়ক,আড়ক
সৃষ্টির, াৃষ্টির
নেতৃত্বাধীন,ণেতৃতাধীন
সমর্থক,সমরংটক
সড়কে,সএকে
দূরপাল্লার,দূরপাল্লার
আমদানি,আমডসনি
স্থানে,স্তানো
সেনাবাহিনী,সরনাবাহিনী
প্রবাসী,পংরনাসী
অস্ত্রোপচারের,অস্ত্রোপচারের
সন্তানের, ান্তানের
আনুষ্ঠানিকতা,আনুষ্টানিকতা
মার্চের,নার্চের
ছেলেকে,ছেলেকে
ফিরবেন,ফি েবেন
বোন,বোন
দুজনেই,দুজনেই
আল্লাহর,আল্লাযর
সুস্থ,সুস্থ
দোয়া,দোুা
পারার,পারার
করছি,করছ◌ী
মার্চে,মারংছো
ফেরার,ফোরার
অনুষ্ঠানের,অন◌ূষ্তানের
প্রেক্ষাগৃহে,পংরেক্ষাগৃহে
মোস্তাফিজুর,মোস্তাফিজুর
মানিক,মাণ◌ীল
ছবিতে,ছনিতে
অভিনয়,অ‍বিনয়
মৌসুমী,মসুমী
ফেরদৌস,ফেতদৌস
আটকে,আতলে
পেশাগত,পেশসগত
পালনের,পালনের
জামালপুরের,হামালপুরের
প্রতিনিধি,পংরতিবিধি
ইসলামের,ইদলামের
মোটরসাইকেল,মোররসাইকেল
যমুনা,যম◌ূনস
সার,সাএ
কারখানায়,কসরখানায়
সমর্থকেরা,সমরংটকেরা
থামিয়ে,থানিয়ে
পদক্ষেপ,পফক্ষেপ
নেয়নি,মেয়নি
তোর,রোর
তুই,তুই
অবরোধে,অবরোডে
নেব,ণেভ
নিলাম,নঅলাম
দেখছেন,ডেখছেন
সই, াই
সভাপতির,দভাপতির
রাখবেন,রসখবেন
জাপা,জাপস
প্রতিষ্ঠাবার্ষিকী,পংরতিষ্টাবসর্ষিকী
কমিউনিটি,কম◌ীইনিটি
জাপার,জাপার
শাখার,সজাখার
বাবুল,নাবুল
গুলশান,গ◌ূলশান
ব্যানার,বাানসর
সেন্টারের, ােন্টারের
র্যাবের,রাাবের
দিনই,ডিনঈ
অতিথি,ইতিথি
কাদেরের,কাদেরোর
মহাসচিব,মহাসচিব
অনুষ্ঠান,পনুষ্ঠান
সভা,সবা
অভিযোগে,ওব◌ীযোগর
আবেদনটি,সবেদনটি
খারিজ,কারিজ
মুখ্য,ম◌ূখা
আসাদুজ্জামান,আসসদুজ্জামান
আবেদন,আবেদন
মুক্তিযোদ্ধা,ম◌ূক্তিযোদ্ধা
মজিবুর,মজিবুর
বদলে,বডলে
সিদ্দিক, ািদ্দিক
নাকচ,নালচ
ডাক,ডাক
দেয়,ফেয়
পুলিশি, োুলিশি
গোপালগঞ্জ,গোপসলগঞ্জ
মহিলা,মহঅলা
বলছিলেন,নলছিলেন
দেশ,সেশ
কোথায়,কোটাু
আপনাদের,আপবাদের
পড়বে,প েবে
গ্রামীণ,গংরসমীণ
যানবাহন,জাণবাগন
নিজস্ব,ণিজস
প্রতিবেদক,পংরতিবেদক
জনকে,জনকে
চলাচল,ছলাচল
ট্রেন,তংরেণ
লঞ্চ,লঞছ
মেহেরপুর,মেহেরপুর
জব্বার,জবার
সীমিত,সীনিত
আকারে,আকারে
দোকানপাট,দোকানপাট
ইকবাল,অকবাল
হত্যার,হেতার
বিভাগীয়,বিভাগীয়
সমন্বয়ক,দমন্বয়ক
মতিন,মত◌ীব
সেক্রেটারি,সেকংরেটারি
অজ্ঞাত,ওজ্ঞাত
কয়েকজনকে,কয়েকজণকে
আসামি,আসামি
হরতালে,গরতালে
নেতাদের,ণরতাদের
নির্যাতন,মির্যাতন
মিথ্যা,ম◌ীেথা
হয়রানির,হয়রাবির
রিকশা,র◌ীকশা
হজরত,হজরর
শাহজালাল,ঢাহজালাল
বিমানবন্দরে,ব◌ীমানভন্দরে
গ্রাম,গংরসম
সোনা,সোনা
ব্যাটালিয়নের,েবাতালিয়নের
সিগারেট,আিগারেট
ফ্লাইটে,ফ্লাইটো
গ্রিন,গংর◌ীন
চ্যানেল,েচসনেল
এঁদের,এঁদের
ব্যাগ,েবাগ
তল্লাশি,তল্লাসজি
বিমানবন্দর,বিমানবণ্দর
পাকিস্তানি,পাক◌ীস্তানি
অলরাউন্ডার,পলরাউন্ডার
ছোঁয়া,ছ িঁয়া
অতীত,ওতীত
ফেরা,ফেরা
ধ্বংসের,ধংসের
শুরুটা,শুরুটা
একেবারেই,একেবারেই
মাটিতে,মাতিতর
বিশাল,ভিশাল
সংগ্রহের,সঙগংরহের
পেরেছে,পেরেছে
বেঁধে,বেঁধে
লক্ষ্যমাত্রা,লক্ক্জমাত্রা
দূরে,ফূরে
পারত,পাতত
মিচেল,মিছেল
এছাড়া,এছাএা
জেমস,জেমস
দায়,দায়
নিউইয়র্কে,মিউইয়র্কে
জামিনে,জসমিনে
কূটনীতিক,কূটণীতিক
আনা,আবা
অব্যাহতি,ওেবাহতি
অধিকার,ইধিকার
প্রত্যাহার,পংরত্যসহার
চাওয়ার,চজাওয়ার
সংবাদমাধ্যম,সংবাডমসধ্যম
যুক্তরাষ্ট্র,জ◌ূক্তরাষ্ট্র
জাতিসংঘের,জাতিসংঘোর
মর্যাদা,মেরাদা
গৃহকর্মী,গৃহকরী
আবেদনে,আনেদনে
জালিয়াতি,জাকিয়াতি
নির্ধারিত,বির্ধারিত
হারের,হসরের
মজুরি,মকুরি
নিউইয়র্ক,নি িইয়র্ক
কক্ষে,কক্কো
হয়রানি,যয়রানি
তোলে,তোলে
সরব,স েব
গণমাধ্যম,ফণমাধ্যম
অপমান,ইপমান
চাইতে,চসইতে
ভারতে,বাএতে
বসবাসরত,নসবাসরত
সংশ্লিষ্টদের,সংষ্ল◌ীষ্টদের
সুবিধা,সুব◌ীফহা
পররাষ্ট্রমন্ত্রী,পরতাষ্ট্রমন্ত্রী
অভিযোগের,ওভ◌ীযোগরর
নির্ধারণ,নিরংডারণ
জাতিসংঘে,জাতিসংঘে
স্থায়ী,স্তায়ী
বদলি,বডকি
পদ,পদ
অজানা,ওজানা
চাওয়া,চাওয়স
ভোগ,বোগ
বরাবরই,বরাবরউ
উল্টো,উল্তপ
চুরি,চুএি
তোলেন,তোলরন
মুছে,মুছে
হোক,হোক
বরণ,বরব
প্রচলিত,পংরচলউত
ঐতিহ্য,ঐত◌ীেহ
স্বাগত,সাগত
জানানোর,হানানোর
নিউজিল্যান্ড,মিউজিল্যান্ড
চীন,ভীন
সিঙ্গাপুরে,সঅঙ্গাপুরে
রাশিয়ার,রাশিয়ার
দেশটিতে,দেশট◌ীতে
রেড,রেদ
নিরাপত্তাব্যবস্থা,মিরাপত্তাব্যবস্থা
আকাঙ্ক্ষা,আকাংক্ষা
সাগর,সাগর
সংলগ্ন,সবলগ্ন
কিলোমিটার,কিলোমিটার
আলোয়,আলোয়
পিচ,পঅচ
কলা,যলা
সৌরভ,সৌরভ
প্যারিস,পাারিস
মন্দিরে,নন্দিরে
দীর্ঘদিনের,ডীর্ঘদিনের
ইউক্রেনের,ইঊকংরেনের
সংগীত,সঙগীত
উন্মুক্ত, িন্মুক্ত
কনসার্ট,কবসার্ট
স্মরণ,সরব
সদ্য,সেদ
প্রয়াত,পংরয়াত
পড়ার,পড়সর
ব্রাজিলের,রাকিলের
জড়ো,কড়ো
বিবিসির,নিবিসির
দেশেই,দেশেউ
আনন্দ,আণণ্দ
উচ্ছ্বাস,ইচ্ছ্বাস
ফেলে,গেলে
ব্যতিক্রম,বাত◌ীক্রম
ভোর,‍বোর
রেলপথ,রেকপথ
বিচ্ছিন্ন,বিছঅন্ন
রাজধানীতে,তাজধানীতে
সিএনজিচালিত,স◌ীরনজিচালিত
অটোরিকশা,অটোতিকশা
প্রাইভেট,পংরাঈভেট
ফটক,ফতক
বহাল,ভহাল
শ্রীপুর,সংরীপুর
দুর্বৃত্তরা,দ◌ূরৃত্তরা
গিয়েছিলেন,গ◌ীয়েছিলেম
হতাহতের,হতাহরের
প্রতিহত,পংররিহত
করেও,করোও
পারায়,পারায়
খন্দকার,খণ্দকার
তফসিল,তফদিল
তথ্যমন্ত্রী,রথ্যমন্ত্রী
প্রজ্ঞাপন,পংরজ্ঞাপন
যেহেতু,যেহেতু
পাঠ,পাট
শোনান,আহোনান
ফলাফলের,ফলসফলের
সুরাহা,সুরাহা
বর্জন,বরংজন
নিচ্ছেন,নিছেন
ফাইনালে,ফসইনালে
এসেই,এসরই
আসল,আসল
দলই,দলই
দিবস,দ◌ীব া
ট্রফি,তংরফউ
প্রাইম,পংরাঈম
বিসিবি,নিসিবি
শক্তির,সগক্তির
হাসানের,হাসানরর
তামিম,তামিম
ইকবালের,উকবালের
ব্যাটিংয়ের,বাারিংয়ের
নাকি,নালি
ওভারেই,ওভারেই
তামিমের,তামঅমের
অফ,পফ
স্পিনার,স্পিনসর
সোহাগ,সোহাগ
বলটা,বলটা
লেগে,লেগে
ধাক্কা,ধাক্কা
কাটিয়ে,লাটিয়ে
ওপেনার,ইপেনার
রনি,রনি
তিনে,রিনে
নামা,নামা
ইমরুল,ইমরুল
বলেছিলেন,বলেভিলেন
বৈচিত্র্য,নৈচিত্র্য
খালি,ঝালি
নির্দিষ্ট,ণ◌ীরংডিষ্ট
বললে,বললো
দাসের,ডাসের
এনামুল,রনামুল
হকের,হকরর
সাব্বির,সাবউর
রহমানের,রহনানের
আরাফাত,সরাফাত
সানি,সসনি
বিসিবির,বিদিবির
টুর্নামেন্টের,টুরংণানেন্টের
হাতেই,হাতেই
দর্শক,দরংষল
শেরেবাংলা,আহেরেবাংলা
কারও,কারও
বিশ্বকাপ,বিশকাপ
এশিয়া,এঢিয়া
অস্থির,ওস্তির
উপস্থিতি,উপস্তউতি
সংক্ষিপ্ত,সংক্কউপ্ত
সিসি,সিসঅ
মার্শাল,মারংষাল
তাইজুল,তসইজুল
জয়ী,জয়ী
জয়ে,জয়ো
অবদান, িবদান
কীভাবে,লীভাবে
আজীবন,আজীবণ
আবেগ,আবোগ
সামলে,সামলে
এসেছেন,এসেছেণ
পরশু,ওরশু
ভীষণ,বীষণ
সম্মান,সমান
সেটা,সরটা
অনুভূতি,অনুভূতি
নিয়েছি,বিয়েছি
ধার,ধার
কমে,কমে
খেলাটা,খেলসটা
শতভাগ,শতভাফ
করেছিলাম,করেছ◌ীলাম
করব,করব
পেরেছি,পেরেছউ
বসে,বদে
আনন্দিত,আবন্দিত
দেখেছে,দেখেছে
মহেন্দ্র,মহেণ্দ্র
ধোনি,ফহোনি
খুশি,খুশ◌ী
হয়েছি,হয়েছি
মুখোমুখি,নুখোমুখি
ছিলাম,চগিলাম
সেভাবেই,সেভাবেউ
প্রস্তুত,পংরস্ত◌ূত
প্রবল,পংরবল
ইচ্ছা,ইছছা
বুঝে,বুকজে
ভাঙতে,চাঙতে
গর্বিত,গর◌ীত
বন্ধুত্ব,বণ্ধুত্ব
রুমে,র◌ূমে
মিস,মিস
কোচের,কোছের
পেয়েছি,পেয়েছি
যাদের,যাদোর
কাটাতে,কসটাতে
পারিনি,ওারিনি
বোঝার,বোজার
জানি,জানি
দেখার,দেকার
কোচ,কোছ
মাকে,মাযে
তোমাদের,তোনাদের
ফাউন্ডেশন,ফাউণ্দেশন
ওরা,ওতা
ফাউন্ডেশনের,ফসউন্ডেশনের
ছেলেমেয়েরা,ছেলেমরয়েরা
প্রিয়,পংরিয়
এটার,এটার
ভালোভাবে,ভাকোভাবে
যুক্ত,জুক্ত
হব,হন
দেবে,ফেবে
নেমে,ণোমে
সরাসরি,সরাসরঅ
মোহামেডান,মোহামরডান
ক্লাবে,ক্লানে
পেরিয়ে,পেরউয়ে
ক্রিস্টিয়ানো,কংরিস্টিউানো
থাকল,তাকল
ছাপ,ছাপ
ফুটবল,ফুটবক
বারী,বারী
খোঁজে,খোঁজে
ঐতিহ্যবাহী,অইতঅহ্যবাহী
করিয়ে,কর◌ীয়ে
আপাতত,আপাতর
চুক্তিতে,চগুক্তিতে
মেয়াদ,মেয়সদ
ইংরেজি,ঈঙ েেজি
অষ্টম,ওষ্তম
বাংলাদেশে,বাবলাদেশে
এসেছি,ওসেছি
অভিজ্ঞতা,অভিজ্ঞতা
চ্যালেঞ্জ,চাালোঞ্জ
নিচ্ছি,ন◌ীছি
অনূর্ধ্ব,অনূরংড্ব
মিডফিল্ডার,মিডফউল্ডার
লেভেল,লোভেল
কোর্স,কোরংস
লাইসেন্স,লাঈসেণ্স
পছন্দ,ওছন্দ
কোচিং,কোছিং
ফাঁকে,ফসঁকে
প্রায়ই,পংরসয়ই
ফোনে,দোনে
ধাক্কায়,ধাক্কায়
টুইটার,রুইটার
ফেসবুকে,ফরসবুকে
বটেই,বটেই
খেয়ে,খরয়ে
গেলেন,গেলেম
বোলাররা,নোলাররা
জমা,কমা
ব্যবধান,েববডান
বিরতির,বঅরতির
কৌশল,কৌশল
ফিরিয়ে,ফ◌ীরিয়ে
পাঠিয়েছেন,পসঠিয়েছেন
প্রান্ত,পংরান্ত
সাঙ্গাকারা,আাঙ্গাকারা
মন্দ,মণ্দ
ফেরত,ফেরত
পাঠান,পসঠান
সাঈদ,সাঈদ
এনে,এণে
মনজুর,ননজুর
পাকিস্তানকে,ওাকিস্তানকে
বাদ,বাদ
দিলে,ডিলর
তথ্যসূত্র,তথাদূত্র
সনি,সন◌ী
পারফরম্যান্স,পারদরম্যান্স
জগতে,জফতে
বৃদ্ধির,বৃদ্দির
হারে,হারে
ভালোই,ভালোঈ
টের,তের
পাচ্ছি,পাছি
পারফরম্যান্সের,পারফরমাান্সের
প্রত্যাশার,পংরেতাষার
লোকের,লোকের
কাপ,কাপ
সুনির্দিষ্ট,সুনির্দিষ্ট
ধারাবাহিকতা,ধারাবাগিকতা
দ্বিপক্ষীয়,দিপক্ষীয়
খেলেছি,খোলেছি
বেদনার,বোদনার
শিরোপা,শউরোপা
সঙ্গী,সংগী
গতবারের,গতবারের
স্মৃতি,সৃতি
এবারও,এবা েও
চাইবে,ভাইবে
ঘরের,ঘরের
পর্ব,পর
শঙ্কা,শংকস
সংশয়,সঙষয়
পারা,পা ো
এমনিতে,রমনিতে
অন্তত,ওণ্তত
পরও,পরও
জায়গায়,জায়গাত
থাকত,থাকত
জয়ের,জয়ের
ধাপ,ধাপ
মুমিনুল,নুমিনুল
বাতাস,বাতসস
বইয়ে,বউয়ে
চলতে,ছকতে
থাকুক,থাকুক
সফর,সগর
গতবার,গতবার
ওদের,ইদের
বছরও,ভছরও
পারব,পারন
দেখি,দেলহি
বাস্তবতা,বাস্তবতা
তত,তত
একসময়,রকসময়
দিক,ফিক
ক্যারিয়ার,কাাএিয়ার
যুগ,য◌ূগ
ভাবি,বাবঅ
যেসব,যেসব
চোটের,ছোতেত
ভবিষ্যৎ,ববিেষৎ
প্রতিদিন,পংরতিডিন
ঢেলে,ঢেলে
বলুন,ভলুন
অস্ত্রোপচার,পস্ত্রোপচার
জনতা,জনতা
চিকিৎসকেরা,চঅকিৎসকেরা
কিছুক্ষণ,কিভহুক্ষণ
মস্তিষ্কের,মস্তিষ্কোর
অবস্থার,অবস্তার
তুলনায়,তুলনায়
অনেকটা,অনেকটা
নিয়ন্ত্রণে,ণিুন্ত্রণে
পারছি,পারছঅ
কয়েকটা,লয়েকটা
নজরদারি,ণজরডাতি
জানাচ্ছেন,হানাচ্ছেন
একাধিক,এলাধিক
জার্মানির,জারানির
চ্যাম্পিয়ন,েচাম্পিয়ন
ফ্রান্সের,ফংরসন্সের
দ্রুতই,ডংরুতঈ
রয়টার্স,রয়টারংস
আকাশে,আকাশে
কত,কত
লড়াই,লড়াই
আকাশের,আলাশের
যুব,হুব
কাপে,কাপে
বাঁহাতি,বাঁহাতি
চাঁদের,ছসঁদের
পড়েছেন,পড়েছেন
ফুটবলের,ফ◌ূতবলের
ঘরোয়া,ঘএোয়া
সাফ,সাগ
ফুটবলে,গুটবলে
আমরাই,আনরাই
ক্ষত,খত
সবারই,দবারই
এএফসি,এএফদি
অন্ধকারে,অণ্ধকসরে
ভারী,বাএী
মাঠের,নাঠের
শিরোনামে,শ◌ীতোনামে
হকি,গকি
মামুনুর,মানুনুর
খেলোয়াড়দের,করলোয়াড়দের
শাস্তি,শাস্তি
এশিয়ান,এশঅয়ান
পাখির,পাকির
জমজমাট,কমজমাট
আসেনি,আ ােনি
কথাই,কতাই
এসএ,এসএ
শারমিন,শারম◌ীণ
আক্তারের,সক্তারের
কণ্ঠে,কণ্ঠে
হতাশ,হতাশ
ক্যাম্প,কাাম্প
আত্মবিশ্বাস,আতবিশ্বাস
বিউটি,বিউটি
এভাবেই,রভাবেই
পাই,পসই
সুলতানা,সুকতানা
দিলেও,দ◌ীলোও
মিটার,মিরার
সবকিছুর,সবকিছুর
প্রতিযোগিতা,পংরতিযোগিতা
আশায়,আশাউ
নৌবাহিনীর,ণৌবাহ◌ীণীএ
অনুশীলন,অন◌ূঢীলন
বিশ্ব,ব◌ীশ
সাঁতার,সাঁতার
পড়ল, োড়ল
পাতা,পাতস
প্রতিবছরই,পংরতিবছরই
পূরণ,পূতণ
ঝাঁপিয়ে,জাঁপিয়ে
দাঁড়িয়ে,দাঁড়◌ীয়ো
ইবনে,ঈবনে
ফিরতে,ফ◌ীরতে
নির্ভর,নিরংবত
দেখিনি,দোখিনি
ওটা,ওরা
হারাতে,হসরাতে
তাড়া,রাড়া
করাটা,করাটা
জরিমানা,করিমানা
রেফারি,রেদারি
ক্লাবের,ক্লাবের
বলেছি,ভলেছি
আক্রমণ,সক্রমণ
ফাইনালের,দাইনালের
পারলেই,পারলেই
চাপ,চসপ
ব্যক্তিগতভাবে,েবক্তিগতভাবে
মোটেই,নোটেই
কালকের,যালকের
দেখলে,দেখলর
দেখবেন,দেকবেণ
পশ্চিমে, োশ্চিমে
হাসি,হাসি
যাই,যাই
লাগছে,লাগছে
সাকিবের,সাকিভের
উদ্যোগের,ঊেদোগের
প্রশংসা,পংরঢংসা
আসছেন,আদছেন
উচিত,উচঅত
পুরোটাই,প◌ূতোটাই
স্থানীয়দের,স্তসনীয়দের
টুর্নামেন্টে,টুরংণানেন্টে
শেষের,শেষের
দূতাবাস,দূরাবাস
রকমই,রকমই
জানুয়ারিতে,জসনুয়ারিতে
সফরের,সফরের
দিল,দিক
মাহবুবুল,মাহব◌ূবুল
আনাম,আণসম
নিজাম,নিহাম
আশ্বাস,আশাস
কাছ,কাছ
প্রস্তুতির,পংরস্তুতির
পড়তে,পরতর
আইসিসির,আঅসিসির
নিরাপত্তার,নঅরাপত্তার
প্রতিপক্ষকে,পংরতিপক্ষকে
গুটিয়ে,ফুটিয়ে
আফগানিস্তানের,আফহানিস্তানের
টেবিলের,টরবিলের
উঠল,উঠল
চারে,চারে
আফগানিস্তান,সফগানিস্তান
সমান,সনান
পুঁজি,ওুঁজি
হারানোর,হাএানোর
ফিরেছেন,ফ◌ীরেছেণ
টানা,টানা
আলি,আল◌ী
মোসাদ্দেক,মোসসদ্দেক
দুর্বৃত্তদের,দুর্বৃত্তদের
সন্ধ্যার,সণ্ধ্যার
চাঁপাইনবাবগঞ্জের,চাঁপাইনবাবগঞ্জের
শিবগঞ্জ,সিবগঞজ
দোকান,দোযান
ব্যবসায়ীরা,েববসায়ীরা
পালানোর,ওালানোর
বণিক,নণিক
পৌর,পৌর
পারলেন, োারলেন
অবশেষে, িবশেষে
প্রত্যক্ষদর্শীরা,পংরত্যক্কদর্শীরস
রড,রদ
ধারালো,ধারালো
অস্ত্র,ওস্ত্র
ককটেল,ককটেক
আতঙ্ক,আতংক
কর্মচারী,করচারী
জীবন,জীবম
আশ্রয়,আষংরয়
দোকানের,ডোকাণের
মোটরসাইকেলের,মপটরসাইকেলের
আগুনের,আগুবের
পানি,পসনি
লাঠি,লসঠি
ফায়ার,গায়ার
সার্ভিসের,সারংবিসের
এলেও,এলেও
ঘটল,ঘরল
আড়াই,আরাই
সার্ভিস,সারংবিস
আনে,সনে
ধসে,ডসে
ছাদ,ছাস
চিনতে,ভহিনতে
জানতেন,জসনতেন
শনাক্ত,শবাক্ত
মহল,মহল
বেগম,বেগম
মেয়ে,নেয়ে
হককে,হযকে
কেঁদে,কেঁডে
উপকার,উপযার
গলায়,গলায়
তবু,তবু
বাবাকে,বাভাকে
পারলাম,পারলান
জানাজা,হানাজা
মুসলমান,ম◌ূআলমান
কবে,কবে
চিহ্নিত,চিন্নঅত
মামলার,মানলার
জের,জে ে
লালমনিরহাটের,লাকমনিরহাটের
কুপিয়ে,কুপিয়ে
রানার,রানার
চাচা,চগাচা
আবু,আবু
নেতৃত্ব,নেতরিত
বিভক্ত,বিভক্ত
একাংশ,এযাংশ
ঘাঁটি,ঘসঁটি
লালমনিরহাট,লাকমনিরহাট
মহাসড়ক,মহাসরক
রেললাইন,রেললাইন
মোল্লার,মপল্লার
বৈদ্যুতিক,বদ্যুতিক
খুঁটি,কুঁটি
জেরে,কেরে
ওয়ার্ড,ওয়ারংদ
মিন্টু,মঅন্টু
মিয়াকে,মঅয়াকে
পৌরসভার,পরসভার
সীমান্তের,সীমাণ্তের
অতীতে,অতীতে
জামিন,জামিম
রাজনীতির,রাজবীতির
প্রশ্নে,পংরশ্নে
প্রশাসক,পংরশাসক
বালিকা,বসলিকা
বিদ্যালয়ে,বিেদালয়ে
মতবিনিময়,মতবিনউময়
যুবলীগ,জ◌ূবলীগ
স্বেচ্ছাসেবক,সেচ্ছাসেবক
একাংশের,একসংশের
সহযোগিতা,সহযোগিতা
সম্পৃক্ততা,সপৃক্ততা
ভাইয়ের,ভসইয়ের
সত্যি,সেতি
কোনোভাবে,কোবোভাবে
দিই,ডঅই
পদে,পসে
কারণেই,কাএণেই
তদন্তে,রদন্তে
সদস্যের,সডসাের
দিয়েছি,দ◌ীুেছি
পেলেই,পরলেই
আমরাও,সমরাও
গ্রেপ্তারে,গংরেপ্তারে
ব্যক্তির,েবক্ত◌ীর
ব্যক্তিকে,বাক্তঅকে
জেলহাজতে,হেলহাজতে
এএসআই,এএ াআই
তোফায়েল,তোফায়রল
সেলিম,সেলিম
ঘুষ,ঘুষ
লাইনে,লাউনে
সংযুক্ত,সংয◌ূক্ত
মিয়ার,মিয়ার
তানভীর,তসনভীর
পারিবারিক,পসরিবারিক
রাজনীতি,রাজণীতি
প্রয়োজন,পংরয়োজন
বাইরেও,নাইরেও
দেখানোর,ডেকাণ ির
দেখান,দেখান
রাতেই,রাতেই
দেড়,দের
সহজেই,সহজেঅ
স্বজনেরা,সজনেরা
রংপুর,রমপুর
বগুড়ার,ভগুড়ার
উঁচু,উঁচ◌ূ
অপসারণ,অপসারব
সড়কের,সড়লের
ঘটনাও,ঘরনাও
আলোতে,সলোতে
পরদিন,পরসিন
জনপথ,জন োথ
সওজ,সওজ
অভিযানে,অচিযানে
চলাকালে,চলাকালে
প্রতিদিনই,পংরতিসিনই
ভাঙচুরের,বা◌ংচজুরের
যানবাহনের,যসনবাহনের
চালকেরা,ছালযেরা
নজরে,ণজরে
আনেন,আনেন
বহু,বহু
হামলার,যামলার
চালানোর,ছালসনোর
ট্রাফিক,তংরাফিক
রাতের,রাতেএ
চালকের,চাললের
গতি,গরি
অপসারণের,অপসারণের
প্রশাসন,পংরঢাসন
বিভাগকে,বউভাগকে
অনুরোধ,ওণুরোড
